Date,Method,Calgary,Edmonton,Halifax,Montreal,Ottawa,Toronto,Vancouver
Jan-13,driving,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Jan-14,driving,101.94,102.98,103.18,101.01,104.33,105.38,101.21
Jan-15,driving,100.5,104.72,110.38,106.71,104.19,102.42,73.72
Jan-16,driving,103.28,111.86,101.15,110.64,105.64,107.2,85.84
Jan-17,driving,113.39,129.58,120.01,117.82,118.39,122.11,105.74
Jan-18,driving,107.23,120.51,123.36,100.38,96.45,86.03,97.94
Jan-19,driving,80.72,85.96,61.43,73.03,75.69,78.09,80.17
Jan-20,driving,100.75,108.93,98.74,99.49,97.49,101.53,103.84
Jan-21,driving,104.51,113.75,104.46,100.45,100.35,101.79,107.72
Jan-22,driving,106.57,121.92,108.96,107.09,105.79,104.59,108.64
Jan-23,driving,107.43,117.68,114.64,108.45,107.11,105.81,112.85
Jan-24,driving,122.12,129.97,125.33,123.73,121.44,120.86,120.85
Jan-25,driving,114.36,125.58,126.22,107.93,99.75,106.37,108.37
Jan-26,driving,79.77,88.11,82.63,76.21,77.28,78.9,85.8
Jan-27,driving,96.35,102.72,98.93,95.66,94.92,94.06,96.92
Jan-28,driving,102.95,109.13,104.4,98.5,104.58,99.4,98.68
Jan-29,driving,103.61,114.16,102.8,100.67,103.6,101.89,99.32
Jan-30,driving,107.49,115.33,107.29,104.35,105.33,104.53,103.07
Jan-31,driving,126.67,132.69,128.54,120.42,129.08,120.54,118.83
Feb-01,driving,111.52,119.02,114.83,110.1,119.84,109.83,108.66
Feb-02,driving,80.58,88.71,78.25,83.64,86.99,77.15,81.01
Feb-03,driving,96.04,100.05,91.89,91.84,92.52,95.9,94.2
Feb-04,driving,102.19,106.16,99.0,97.22,98.79,99.63,86.66
Feb-05,driving,100.27,106.93,105.23,101.23,99.54,102.94,100.22
Feb-06,driving,105.3,114.13,94.75,104.56,101.21,99.53,106.86
Feb-07,driving,119.49,131.26,95.35,100.95,120.84,115.1,119.86
Feb-08,driving,112.8,127.22,120.58,102.63,116.24,107.83,114.18
Feb-09,driving,82.88,87.91,85.69,79.27,86.17,82.85,90.05
Feb-10,driving,97.51,102.48,102.34,120.77,103.28,98.57,99.1
Feb-11,driving,101.44,129.55,103.6,109.81,101.65,103.16,102.85
Feb-12,driving,103.78,118.77,95.33,109.81,106.16,104.66,106.29
Feb-13,driving,111.16,121.38,93.72,116.2,112.67,114.14,111.52
