Date,Province,Confirmed,Deaths
Jan-22,Alberta,0,0
Jan-22,British Columbia,0,0
Jan-22,Manitoba,0,0
Jan-22,New Brunswick,0,0
Jan-22,Newfoundland and Labrador,0,0
Jan-22,Nova Scotia,0,0
Jan-22,Ontario,0,0
Jan-22,Prince Edward Island,0,0
Jan-22,Quebec,0,0
Jan-22,Saskatchewan,0,0
Jan-22,Repartriated Canadians,0,0
Jan-22,Canada,0,0
Jan-23,Alberta,0,0
Jan-24,Alberta,0,0
Jan-25,Alberta,0,0
Jan-26,Alberta,0,0
Jan-27,Alberta,0,0
Jan-28,Alberta,0,0
Jan-29,Alberta,0,0
Jan-30,Alberta,0,0
Jan-31,Alberta,0,0
Feb-01,Alberta,0,0
Feb-02,Alberta,0,0
Feb-03,Alberta,0,0
Feb-04,Alberta,0,0
Feb-05,Alberta,0,0
Feb-06,Alberta,0,0
Feb-07,Alberta,0,0
Feb-08,Alberta,0,0
Feb-09,Alberta,0,0
Feb-10,Alberta,0,0
Feb-11,Alberta,0,0
Feb-12,Alberta,0,0
Feb-13,Alberta,0,0
Feb-14,Alberta,0,0
Feb-15,Alberta,0,0
Feb-16,Alberta,0,0
Feb-17,Alberta,0,0
Feb-18,Alberta,0,0
Feb-19,Alberta,0,0
Feb-20,Alberta,0,0
Feb-21,Alberta,0,0
Feb-22,Alberta,0,0
Feb-23,Alberta,0,0
Feb-24,Alberta,0,0
Feb-25,Alberta,0,0
Feb-26,Alberta,0,0
Feb-27,Alberta,0,0
Feb-28,Alberta,0,0
Feb-29,Alberta,0,0
Mar-01,Alberta,0,0
Mar-02,Alberta,0,0
Mar-03,Alberta,0,0
Mar-04,Alberta,0,0
Mar-05,Alberta,0,0
Mar-06,Alberta,1,0
Mar-07,Alberta,1,0
Mar-08,Alberta,2,0
Mar-09,Alberta,3,0
Mar-10,Alberta,0,0
Mar-11,Alberta,12,0
Mar-12,Alberta,0,0
Mar-13,Alberta,10,0
Mar-14,Alberta,0,0
Mar-15,Alberta,10,0
Mar-16,Alberta,17,0
Mar-17,Alberta,18,0
Mar-18,Alberta,23,0
Mar-19,Alberta,22,0
Mar-20,Alberta,27,1
Mar-21,Alberta,49,0
Mar-22,Alberta,64,0
Mar-23,Alberta,42,0
Mar-24,Alberta,58,0
Mar-25,Alberta,0,1
Mar-26,Alberta,128,0
Mar-27,Alberta,56,0
Mar-28,Alberta,0,0
Mar-29,Alberta,79,0
Mar-30,Alberta,40,1
Mar-31,Alberta,29,5
Apr-01,Alberta,64,1
Apr-02,Alberta,215,4
Apr-03,Alberta,0,0
